Condition,Mu,Kappa,p_value_Watson_U2,p_value_Rayleigh,p_value_V_test,p_value_Watson_U2_NS_vs_BOSS,KDE_corr_theor_r,KDE_corr_theor_p,OVC_with_theor,KDE_corr_NS_BOSS_r,KDE_corr_NS_BOSS_p,Mean_Error_rad,Median_Error_rad
NS Target π,3.0241728794305,1.01823389980138,0.602,1.25771009597299e-19,0,0,0.964492546174854,0,0.908324889153905,0.0203818620657142,0.770335400950286,0.943743458308125,0.869196230970519
NS Target 0,-0.811786256442328,1.10721943774082,0.134333333333333,1.7287667216524e-22,1.20129461933516e-11,0,0.593470804871338,0,0.750165077963338,0.167085044531596,0.0187719456099888,1.10960250669481,1.04187524835386
NS Target Random,1.29117754546872,0.675944777244979,0.625666666666667,7.58675357533734e-10,NaN,0.00633333333333333,-0.706644496831358,0,0.781700514788169,0.195748970493454,0.00484047192176096,1.15609179769981,1.05268853484052
BOSS Target π,-2.64288916132991,1.39804393159961,0.688333333333333,8.41195625914136e-32,0,NaN,0.838601138900414,0,0.823581760622234,NaN,NaN,0.859023115137977,0.787688919041682
BOSS Target 0,-0.240314445812577,1.03340379864134,0.381333333333333,4.15923588029697e-20,0,NaN,0.968547119555483,0,0.921855609361859,NaN,NaN,0.908786700746551,0.704333093389471
BOSS Target Random,2.10407792841666,0.548659052235588,0.427,6.72267185624003e-07,NaN,NaN,-0.228656931434541,1.70790914744146e-09,0.833565994039503,NaN,NaN,1.12700600980412,0.981082874687698
